Station Name,RoadSurfaceTemperature,AirTemperature
SpokaneSwingBridge,92.4,80.6
SpokaneSwingBridge,74.84,65.5
AlbroPlaceAirportWay,81.8,67.59
HarborAveUpperNorthBridge,96.7,77.64
HarborAveUpperNorthBridge,99.5,82
HarborAveUpperNorthBridge,84.9,73.68
HarborAveUpperNorthBridge,78.44,69.99
MagnoliaBridge,72.8,63.54
RooseveltWay_NE80thSt,72.16,72.16
MagnoliaBridge,77.14,63.88
HarborAveUpperNorthBridge,87.6,76.9
AlbroPlaceAirportWay,81.7,67.77
AlbroPlaceAirportWay,81.7,67.9
AlbroPlaceAirportWay,81.7,67.99
AlbroPlaceAirportWay,81.7,67.97
AlbroPlaceAirportWay,81.7,68
AlbroPlaceAirportWay,81.7,68.09
AlbroPlaceAirportWay,81.6,68.23
SpokaneSwingBridge,72.43,67.11
SpokaneSwingBridge,72.49,67.07
SpokaneSwingBridge,72.56,67
SpokaneSwingBridge,72.62,67.1
SpokaneSwingBridge,72.69,67.2
SpokaneSwingBridge,72.76,67.28
SpokaneSwingBridge,72.82,67.18
SpokaneSwingBridge,72.88,67.12
SpokaneSwingBridge,72.93,67.08
SpokaneSwingBridge,72.96,66.92
SpokaneSwingBridge,73,66.84
HarborAveUpperNorthBridge,96.8,77.69
HarborAveUpperNorthBridge,96.8,77.73
HarborAveUpperNorthBridge,96.9,77.65
HarborAveUpperNorthBridge,96.9,77.6
HarborAveUpperNorthBridge,97,77.49
HarborAveUpperNorthBridge,97.1,77.68
HarborAveUpperNorthBridge,97.1,77.8
HarborAveUpperNorthBridge,97.2,77.88
HarborAveUpperNorthBridge,97.2,77.85
HarborAveUpperNorthBridge,97.3,77.89
MagnoliaBridge,99,79.97
MagnoliaBridge,99.1,80.1
MagnoliaBridge,99.2,80.1
MagnoliaBridge,99.3,79.97
MagnoliaBridge,99.3,80
MagnoliaBridge,99.4,79.95
MagnoliaBridge,99.4,80
MagnoliaBridge,99.5,80.1
MagnoliaBridge,99.6,80.2
