aX,aY,aZ,gX,gY,gZ
0.463,0.301,0.643,-30.945,22.095,47.607
0.458,0.302,0.645,-30.884,20.630,44.922
0.453,0.296,0.663,-33.630,18.555,40.466
0.445,0.297,0.676,-34.912,17.456,37.659
0.438,0.298,0.678,-34.668,17.029,36.621
0.440,0.304,0.672,-34.851,16.602,35.400
0.439,0.318,0.672,-34.546,15.320,34.790
0.440,0.338,0.671,-33.997,13.794,34.180
0.441,0.364,0.673,-32.654,12.939,33.752
0.442,0.388,0.679,-32.349,11.902,31.738
0.440,0.395,0.687,-31.616,10.681,29.114
0.438,0.396,0.699,-29.541,9.766,26.917
0.438,0.386,0.698,-27.039,9.094,24.780
0.435,0.389,0.699,-25.513,8.118,23.437
0.433,0.410,0.709,-25.146,7.141,21.851
0.436,0.422,0.719,-23.254,6.653,20.325
0.435,0.423,0.712,-22.034,6.653,18.616
0.428,0.428,0.718,-21.301,6.226,16.357
0.424,0.434,0.735,-19.836,5.676,14.404
0.424,0.439,0.740,-16.663,5.005,13.000
0.430,0.441,0.735,-13.367,4.517,11.780
0.433,0.438,0.733,-10.010,3.845,10.681
0.424,0.432,0.750,-7.812,2.869,9.216
0.421,0.421,0.766,-5.798,2.991,7.935
0.420,0.406,0.754,-5.066,4.089,6.958
0.415,0.401,0.764,-6.531,5.249,5.432
0.419,0.417,0.752,-9.338,6.348,3.418
0.419,0.420,0.741,-7.874,7.324,2.380
0.416,0.423,0.737,-9.583,6.897,0.427
0.404,0.427,0.751,-11.108,6.592,-1.404
0.389,0.432,0.764,-13.062,6.897,-2.502
0.371,0.474,0.832,-16.663,7.935,-2.869
0.355,0.472,0.791,-16.602,10.925,-2.380
0.370,0.558,0.820,-15.320,12.024,1.831
0.398,0.612,0.726,-10.437,14.221,4.578
0.416,0.729,0.754,-7.874,12.695,8.606
0.431,0.823,0.763,-8.362,10.193,6.348
0.432,0.909,0.791,-2.625,9.583,3.906
0.472,0.985,0.763,2.747,12.390,0.732
0.510,1.078,0.691,3.113,20.142,-7.507
0.561,1.144,0.620,3.967,24.414,-20.386
0.592,1.179,0.566,6.592,23.987,-35.889
0.611,1.187,0.537,10.376,21.057,-52.490
0.613,1.203,0.545,14.099,16.846,-69.336
0.606,1.241,0.562,19.592,13.672,-83.984
0.601,1.283,0.557,28.748,11.597,-97.168
0.583,1.274,0.549,45.410,8.484,-111.206
0.558,1.214,0.529,62.927,6.897,-126.892
0.546,1.132,0.484,78.491,8.972,-141.968
0.524,1.074,0.426,87.280,11.230,-156.494
0.499,0.990,0.360,92.651,11.780,-173.706
0.462,0.901,0.319,93.018,12.268,-194.397
0.405,0.809,0.308,92.590,11.292,-212.830
0.326,0.715,0.352,89.111,10.681,-231.018
0.218,0.612,0.438,84.839,11.108,-248.169
0.107,0.477,0.514,84.351,9.033,-263.306
0.013,0.317,0.541,86.426,9.705,-275.818
-0.053,0.120,0.507,91.858,12.451,-283.325
-0.132,-0.120,0.457,94.727,15.625,-287.354
-0.215,-0.415,0.459,89.539,13.000,-289.246
-0.281,-0.733,0.512,77.454,1.770,-284.607
-0.330,-0.996,0.612,62.012,-14.404,-273.621
-0.340,-1.203,0.713,56.946,-34.424,-253.113
-0.318,-1.333,0.811,64.514,-52.917,-222.656
-0.282,-1.350,0.912,72.021,-65.613,-189.331
-0.239,-1.259,0.997,73.975,-67.749,-157.898
-0.193,-1.143,1.035,70.007,-59.875,-134.827
-0.138,-1.086,1.017,61.340,-46.570,-121.643
-0.087,-1.066,0.969,49.500,-32.593,-113.647
-0.037,-1.051,0.924,36.743,-21.484,-106.873
-0.003,-1.038,0.907,22.766,-12.939,-100.586
0.026,-1.015,0.899,10.437,-6.042,-94.360
0.043,-0.993,0.901,3.784,-3.479,-87.158
0.064,-0.990,0.908,-1.160,-2.380,-79.712
0.078,-0.968,0.921,-6.348,-1.892,-71.777
0.096,-0.943,0.925,-5.432,-2.441,-62.012
0.116,-0.921,0.909,0.977,-4.150,-51.697
0.138,-0.880,0.907,9.033,-5.676,-41.260
0.157,-0.838,0.899,15.991,-5.737,-32.166
0.179,-0.796,0.876,20.142,-4.333,-25.146
0.202,-0.762,0.868,20.447,-3.174,-20.020
0.215,-0.735,0.863,18.677,-1.648,-16.296
0.235,-0.708,0.827,18.616,0.305,-12.756
0.252,-0.692,0.778,19.592,1.404,-9.949
0.268,-0.673,0.754,17.456,0.916,-8.057
0.275,-0.659,0.756,13.367,0.183,-6.836
0.281,-0.653,0.758,9.644,-0.244,-6.042
0.284,-0.646,0.767,6.653,-0.610,-4.639
0.292,-0.632,0.776,4.517,-1.099,-2.930
0.293,-0.607,0.792,2.747,-1.587,-1.282
0.309,-0.582,0.798,2.258,-1.343,-0.244
0.313,-0.562,0.796,3.174,-1.099,0.916
0.332,-0.545,0.790,4.089,-1.343,1.709
0.336,-0.536,0.785,5.005,-1.648,1.953
