aX,aY,aZ,gX,gY,gZ
0.372,-0.804,0.500,-75.378,10.864,-10.376
0.365,-0.774,0.593,-88.928,10.071,-6.592
0.384,-0.636,0.628,-97.656,13.123,-1.343
0.427,-0.502,0.594,-97.656,15.625,0.549
0.459,-0.384,0.576,-88.562,13.428,-0.793
0.468,-0.347,0.592,-73.242,7.690,-5.859
0.462,-0.355,0.631,-54.871,0.793,-14.282
0.447,-0.355,0.667,-35.950,-5.798,-22.278
0.432,-0.364,0.665,-17.456,-10.803,-30.151
0.408,-0.425,0.652,1.099,-15.442,-38.574
0.381,-0.503,0.648,18.494,-20.203,-45.593
0.352,-0.495,0.668,33.691,-24.231,-50.293
0.339,-0.534,0.608,48.523,-26.550,-55.359
0.326,-0.653,0.537,65.002,-28.198,-61.340
0.312,-0.712,0.519,77.026,-33.936,-63.660
0.295,-0.687,0.525,86.975,-39.856,-63.354
0.268,-0.621,0.519,95.520,-44.373,-64.636
0.270,-0.649,0.474,104.187,-46.936,-71.411
0.237,-0.716,0.463,112.671,-52.002,-79.041
0.210,-0.778,0.440,114.990,-56.152,-85.693
0.189,-0.881,0.405,114.075,-60.120,-90.332
0.153,-0.960,0.415,109.924,-65.430,-90.942
0.130,-1.002,0.436,103.455,-69.824,-88.135
0.119,-0.999,0.444,95.337,-72.693,-83.618
0.098,-0.954,0.475,89.600,-76.477,-77.881
0.087,-0.940,0.483,88.745,-80.444,-74.585
0.083,-0.948,0.450,93.811,-86.487,-72.449
0.075,-0.938,0.400,99.609,-95.215,-69.702
0.049,-0.950,0.368,106.934,-106.873,-66.895
0.011,-0.952,0.367,112.488,-118.103,-64.819
-0.002,-0.928,0.323,114.258,-125.732,-64.758
-0.013,-0.846,0.289,116.150,-132.996,-66.162
-0.052,-0.796,0.307,121.338,-142.090,-70.557
-0.086,-0.808,0.258,126.160,-149.475,-78.369
-0.141,-0.842,0.147,131.592,-157.593,-86.365
-0.242,-0.918,0.086,139.526,-170.166,-93.445
-0.357,-1.167,0.039,151.367,-183.411,-98.999
-0.482,-1.298,-0.003,163.574,-193.176,-100.098
-0.539,-1.471,-0.118,174.316,-200.500,-97.290
-0.644,-1.696,-0.146,185.059,-212.891,-88.379
-0.740,-1.838,-0.103,187.500,-225.586,-72.937
-0.806,-1.947,-0.101,180.481,-233.398,-53.772
-0.839,-1.996,-0.153,168.945,-237.610,-31.189
-0.853,-2.002,-0.224,156.616,-242.187,-6.592
-0.886,-1.963,-0.219,142.090,-248.718,16.907
-0.902,-1.857,-0.138,130.005,-253.662,39.063
-0.898,-1.777,-0.118,123.596,-253.662,57.861
-0.884,-1.776,-0.193,120.789,-252.380,73.242
-0.891,-1.834,-0.313,119.019,-254.272,88.379
-0.914,-1.883,-0.452,116.577,-259.766,105.713
-0.987,-1.927,-0.560,113.586,-268.921,124.878
-1.016,-2.008,-0.655,110.779,-279.846,144.531
-1.090,-2.098,-0.708,110.291,-293.945,167.297
-1.164,-2.110,-0.715,110.413,-310.730,192.688
-1.215,-2.204,-0.727,115.295,-328.308,220.093
-1.263,-2.108,-0.642,111.938,-346.619,249.023
-1.266,-1.903,-0.591,107.483,-360.901,277.344
-1.251,-1.832,-0.527,102.844,-371.338,297.119
-1.245,-1.704,-0.361,93.262,-378.540,312.622
-1.164,-1.539,-0.166,80.933,-378.357,325.745
-1.036,-1.318,0.036,65.430,-369.202,334.290
-0.828,-1.068,0.234,50.415,-350.586,336.487
-0.596,-0.758,0.450,38.574,-329.163,332.764
-0.456,-0.642,0.620,34.180,-310.425,321.350
-0.393,-0.674,0.664,21.667,-283.447,300.781
-0.329,-0.735,0.546,8.667,-246.033,283.813
-0.208,-0.736,0.282,-4.883,-207.581,274.902
-0.134,-0.598,0.103,-20.935,-184.387,270.325
-0.077,-0.491,0.079,-32.654,-176.270,267.090
-0.033,-0.366,0.155,-46.631,-172.607,261.169
-0.006,-0.264,0.235,-60.242,-168.152,252.441
0.037,-0.146,0.282,-67.627,-160.278,244.446
0.090,-0.055,0.294,-73.792,-149.536,233.032
0.155,-0.009,0.255,-81.726,-139.404,219.055
0.205,0.048,0.216,-88.135,-134.399,205.139
0.239,0.107,0.199,-90.515,-133.057,192.200
0.279,0.134,0.190,-93.872,-132.690,176.453
0.327,0.112,0.155,-99.854,-132.935,158.691
0.322,0.216,0.362,-106.934,-137.390,141.479
0.341,0.326,0.661,-104.675,-137.390,128.296
0.356,0.365,0.871,-101.135,-125.427,111.328
0.388,0.241,0.918,-91.370,-105.042,93.201
0.420,0.063,0.851,-80.444,-85.144,82.336
0.449,0.060,0.801,-74.524,-72.327,81.665
0.481,0.234,0.829,-70.435,-65.125,84.473
0.511,0.379,0.901,-64.941,-58.777,80.933
0.534,0.420,0.961,-55.481,-50.903,72.266
0.569,0.419,0.942,-47.607,-39.856,62.378
0.613,0.437,0.899,-43.091,-28.992,52.673
0.653,0.460,0.881,-39.978,-21.240,42.664
0.669,0.485,0.883,-36.438,-15.137,31.616
0.693,0.426,0.872,-29.541,-9.277,18.921
0.700,0.313,0.858,-19.775,-3.906,8.179
0.709,0.204,0.823,-12.451,1.892,0.793
0.729,0.130,0.783,-5.554,8.301,-2.319
0.755,0.088,0.743,1.770,13.977,-3.601
0.779,0.064,0.700,8.789,19.226,-4.639
0.787,0.021,0.650,13.672,24.841,-6.775
0.794,-0.054,0.557,17.273,30.334,-10.071
0.813,-0.122,0.455,20.020,33.997,-11.780
0.831,-0.135,0.400,22.461,34.119,-11.597
0.845,-0.103,0.395,22.644,32.898,-12.390
0.856,-0.104,0.397,22.217,32.776,-15.625
0.864,-0.172,0.367,23.071,34.119,-20.569
0.860,-0.257,0.308,22.034,36.072,-24.597
0.869,-0.335,0.246,20.081,36.743,-26.428
0.880,-0.361,0.212,19.897,34.485,-25.024
0.890,-0.352,0.214,19.775,30.701,-23.132
0.897,-0.357,0.237,19.409,26.978,-22.461
0.898,-0.389,0.256,18.799,24.536,-22.400
0.895,-0.392,0.265,16.968,23.560,-21.179
0.896,-0.407,0.245,14.404,23.987,-19.958
0.904,-0.437,0.211,13.000,23.865,-18.677
0.916,-0.429,0.190,11.292,22.461,-15.991
0.929,-0.395,0.188,9.094,20.203,-13.611
0.931,-0.366,0.203,6.897,18.188,-12.634
0.937,-0.372,0.203,5.432,17.456,-12.939
0.938,-0.386,0.186,3.418,17.090,-13.794
0.935,-0.402,0.171,1.465,15.991,-13.550
0.432,-0.288,0.862,-4.028,-9.216,-6.531
0.440,-0.255,0.845,-4.028,-7.324,-5.188
0.453,-0.241,0.804,-3.662,-5.981,-5.554
0.465,-0.234,0.778,-2.380,-6.592,-6.653
0.471,-0.219,0.772,-1.343,-8.484,-8.118
0.474,-0.218,0.761,0.244,-10.193,-9.705
0.469,-0.242,0.753,2.197,-12.146,-11.169
0.467,-0.248,0.753,3.479,-14.771,-12.512
0.469,-0.224,0.749,4.395,-17.334,-13.672
0.456,-0.235,0.760,5.798,-20.508,-15.564
0.447,-0.270,0.746,6.531,-22.522,-16.724
0.445,-0.296,0.727,6.836,-23.254,-17.334
0.446,-0.293,0.721,4.944,-24.963,-17.761
0.446,-0.251,0.712,2.991,-27.832,-18.494
0.439,-0.221,0.709,3.784,-31.677,-20.935
0.414,-0.222,0.747,8.362,-37.415,-24.780
0.371,-0.262,0.825,16.418,-44.495,-28.503
0.341,-0.289,0.875,25.940,-49.377,-30.945
0.322,-0.273,0.896,37.231,-52.856,-32.593
0.316,-0.301,0.889,52.185,-56.458,-35.156
0.314,-0.305,0.859,69.275,-61.035,-36.865
0.325,-0.309,0.786,87.463,-67.810,-38.147
0.324,-0.316,0.710,105.713,-78.186,-39.734
0.296,-0.301,0.695,124.634,-92.529,-41.687
0.258,-0.308,0.679,146.240,-108.826,-44.861
0.220,-0.334,0.616,169.678,-124.207,-49.561
0.118,-0.417,0.549,192.566,-140.869,-55.908
0.046,-0.597,0.624,209.656,-156.860,-62.744
-0.095,-0.772,0.670,199.585,-162.354,-81.543
-0.149,-0.998,0.640,179.321,-158.997,-89.844
-0.178,-1.130,0.664,179.626,-155.334,-77.637
-0.200,-1.140,0.709,168.152,-154.419,-64.697
-0.218,-1.087,0.682,160.400,-156.433,-52.979
-0.227,-1.040,0.574,170.227,-165.283,-39.673
-0.242,-1.008,0.406,193.298,-183.228,-28.076
-0.297,-1.010,0.253,223.816,-211.426,-19.775
-0.394,-1.101,0.129,257.141,-244.934,-15.259
-0.503,-1.271,0.017,285.095,-276.978,-13.367
-0.596,-1.428,-0.086,304.077,-305.359,-10.681
-0.735,-1.571,-0.053,322.998,-332.886,-4.211
-0.865,-1.790,-0.026,339.355,-353.577,3.174
-0.971,-1.928,-0.076,349.365,-363.892,14.771
-1.058,-2.004,-0.199,357.605,-369.507,28.381
-1.113,-2.295,-0.541,360.413,-373.291,39.795
-1.233,-2.497,-0.752,348.694,-387.817,57.617
-1.380,-2.620,-0.715,332.581,-412.842,83.130
-1.504,-2.751,-0.657,313.538,-433.777,108.643
-1.561,-2.794,-0.642,287.354,-449.036,138.428
-1.642,-2.687,-0.564,265.320,-462.036,173.706
-1.720,-2.660,-0.477,249.573,-465.820,206.238
-1.730,-2.722,-0.439,235.168,-461.487,236.694
-1.725,-2.676,-0.491,211.548,-456.177,266.418
-1.692,-2.384,-0.576,182.922,-452.087,296.997
-1.629,-2.079,-0.669,155.884,-451.172,320.679
-1.538,-1.883,-0.719,131.470,-452.515,335.632
-1.499,-1.706,-0.563,108.459,-456.421,344.238
-1.435,-1.609,-0.306,75.684,-450.562,344.116
-1.234,-1.405,-0.125,37.903,-429.749,344.421
-0.984,-0.995,0.095,6.897,-409.912,347.046
-0.805,-0.571,0.431,-6.226,-394.836,344.299
-0.631,-0.422,0.623,-4.456,-369.690,327.087
-0.462,-0.449,0.563,-10.254,-329.041,300.659
-0.322,-0.455,0.359,-27.832,-284.241,278.076
-0.209,-0.337,0.208,-54.504,-248.047,260.864
-0.130,-0.099,0.194,-81.421,-225.342,243.530
-0.069,-0.024,0.192,-96.924,-214.355,220.642
-0.047,-0.081,0.134,-105.103,-210.571,201.660
-0.064,-0.060,0.098,-117.737,-210.388,188.965
-0.026,0.014,0.032,-127.930,-211.853,179.504
-0.026,0.147,-0.105,-136.230,-222.900,171.082
-0.102,0.455,0.353,-138.855,-243.591,160.400
-0.137,0.615,0.851,-127.686,-245.483,138.611
-0.108,0.607,1.168,-114.319,-224.609,109.070
-0.057,0.499,1.280,-104.919,-190.002,76.416
-0.011,0.371,1.260,-102.295,-156.006,51.392
0.021,0.267,1.250,-102.722,-132.019,34.546
0.055,0.162,1.299,-104.858,-116.028,22.644
0.088,0.072,1.377,-101.013,-104.004,17.883
0.114,0.010,1.407,-93.994,-92.346,19.165
0.163,0.004,1.446,-81.238,-77.881,25.757
0.221,0.065,1.421,-66.101,-60.425,34.180
0.294,0.110,1.304,-48.706,-43.213,41.199
0.370,0.159,1.161,-31.921,-29.419,44.922
0.449,0.234,1.053,-20.752,-19.775,45.105
0.505,0.305,1.029,-13.489,-11.658,41.138
0.547,0.330,1.035,-10.132,-1.709,31.921
0.570,0.251,0.957,-7.080,12.512,19.897
0.615,0.067,0.739,0.305,26.611,10.681
0.667,-0.023,0.546,4.822,32.715,7.446
0.711,-0.037,0.445,10.315,31.616,7.324
0.741,-0.045,0.436,15.808,26.733,6.104
0.743,-0.105,0.456,22.644,23.010,3.235
0.752,-0.173,0.447,28.748,22.583,0.610
0.762,-0.202,0.441,31.860,23.682,-0.977
0.774,-0.234,0.419,32.104,25.024,-3.113
0.778,-0.293,0.396,31.067,25.818,-6.409
0.783,-0.344,0.380,27.771,25.696,-9.216
0.788,-0.398,0.375,24.536,25.208,-11.292
0.795,-0.450,0.373,22.278,24.170,-12.268
0.796,-0.495,0.377,20.752,22.949,-11.841
0.793,-0.521,0.377,18.738,22.217,-10.437
0.794,-0.542,0.369,16.663,21.973,-8.484
0.796,-0.528,0.370,14.832,21.057,-6.531
0.798,-0.526,0.376,13.306,20.569,-5.798
0.801,-0.548,0.372,12.146,20.325,-5.615
0.803,-0.538,0.365,9.583,19.897,-4.883
0.809,-0.522,0.360,7.019,18.860,-4.150
0.813,-0.522,0.373,5.432,17.029,-3.540
0.809,-0.523,0.396,4.089,15.137,-2.808
0.810,-0.511,0.409,3.296,14.343,-1.465
0.815,-0.482,0.404,2.747,14.099,0.122
0.825,-0.431,0.419,1.343,13.611,1.343
0.825,-0.395,0.447,-0.305,13.550,0.916
0.825,-0.384,0.448,-2.014,14.648,-0.244
0.826,-0.373,0.431,-2.808,15.686,-1.099
0.833,-0.349,0.416,-2.625,16.174,-1.343
0.833,-0.331,0.412,-2.441,15.869,-1.892
0.833,-0.337,0.392,-1.770,15.442,-2.930
0.836,-0.349,0.365,-0.916,14.465,-3.662
0.505,-0.008,0.851,6.042,-10.498,-13.916
0.500,-0.051,0.844,10.498,-11.780,-18.188
0.479,-0.096,0.878,12.817,-14.099,-21.362
0.453,-0.155,0.924,13.977,-14.221,-22.583
0.431,-0.220,0.940,13.672,-11.414,-21.912
0.439,-0.236,0.907,10.864,-6.897,-18.677
0.463,-0.184,0.841,6.409,-3.052,-15.137
0.486,-0.116,0.788,3.662,-3.296,-13.672
0.500,-0.115,0.796,5.249,-7.141,-14.954
0.490,-0.117,0.826,8.240,-11.475,-15.747
0.486,-0.088,0.849,10.376,-13.794,-16.296
0.482,-0.084,0.858,14.160,-15.686,-18.005
0.487,-0.102,0.847,20.142,-17.029,-19.592
0.495,-0.092,0.827,25.574,-19.104,-21.118
0.500,-0.061,0.801,30.945,-22.766,-23.315
0.500,-0.063,0.770,37.598,-28.687,-27.344
0.495,-0.020,0.759,45.410,-36.926,-32.776
0.497,-0.050,0.755,56.885,-45.837,-39.917
0.466,-0.104,0.770,66.467,-54.382,-45.776
0.416,-0.150,0.804,71.533,-61.523,-49.744
0.394,-0.238,0.800,74.097,-65.369,-54.321
0.391,-0.279,0.747,73.425,-66.772,-57.373
0.394,-0.308,0.671,71.960,-70.862,-58.533
0.381,-0.336,0.643,70.007,-78.857,-59.082
0.361,-0.346,0.673,68.481,-88.318,-59.082
0.338,-0.303,0.722,69.580,-96.069,-58.350
0.312,-0.232,0.746,77.698,-102.112,-57.312
0.285,-0.185,0.761,97.656,-111.511,-56.335
0.253,-0.150,0.860,123.230,-123.413,-56.519
0.185,-0.173,0.942,148.193,-128.235,-61.401
0.161,-0.280,0.861,169.800,-126.160,-68.542
0.134,-0.296,0.690,192.688,-125.122,-70.923
0.097,-0.435,0.526,218.384,-132.446,-75.500
0.043,-0.684,0.383,236.206,-143.738,-81.909
-0.014,-0.882,0.318,239.624,-159.058,-82.825
-0.111,-0.931,0.377,232.300,-175.232,-81.055
-0.247,-0.929,0.471,226.318,-187.073,-78.613
-0.343,-1.018,0.534,228.943,-193.176,-77.087
-0.420,-1.157,0.545,236.755,-196.899,-75.928
-0.496,-1.297,0.492,242.432,-199.402,-71.899
-0.553,-1.382,0.418,243.652,-202.087,-65.125
-0.608,-1.407,0.337,248.474,-205.627,-54.810
-0.669,-1.499,0.183,261.292,-213.196,-44.739
-0.743,-1.729,-0.076,276.794,-227.356,-36.133
-0.867,-2.035,-0.289,293.823,-251.160,-22.583
-1.045,-2.370,-0.371,306.396,-280.029,-2.197
-1.200,-2.684,-0.445,305.725,-303.162,24.475
-1.314,-2.876,-0.523,290.649,-319.336,57.983
-1.403,-2.907,-0.542,271.118,-334.839,96.985
-1.421,-2.796,-0.591,254.028,-351.318,137.939
-1.454,-2.568,-0.587,243.896,-372.925,176.453
-1.472,-2.480,-0.557,244.873,-396.912,207.153
-1.522,-2.518,-0.523,253.967,-420.288,233.032
-1.650,-2.629,-0.535,263.123,-439.636,261.780
-1.682,-2.752,-0.581,266.785,-451.965,293.884
-1.761,-2.644,-0.490,255.676,-462.219,327.881
-1.810,-2.510,-0.461,230.286,-464.111,356.445
-1.805,-2.287,-0.442,205.200,-460.999,381.958
-1.725,-1.923,-0.287,177.734,-457.153,404.175
-1.564,-1.439,-0.018,141.846,-445.679,411.987
-1.281,-1.052,0.277,109.558,-430.359,405.396
-1.027,-0.665,0.538,79.956,-412.964,390.381
-0.812,-0.463,0.700,58.716,-391.052,366.272
-0.706,-0.678,0.716,45.837,-361.145,334.839
-0.616,-0.927,0.537,27.405,-326.660,312.195
-0.532,-0.841,0.367,1.221,-296.936,309.265
-0.423,-0.525,0.125,-30.579,-271.423,305.725
-0.305,-0.249,-0.122,-54.016,-256.958,301.453
-0.163,-0.065,-0.391,-71.655,-257.812,290.283
-0.097,0.143,-0.632,-93.018,-280.151,274.414
-0.213,0.763,0.314,-112.244,-314.575,255.554
-0.171,1.132,1.153,-117.493,-304.504,211.670
-0.012,0.988,1.238,-103.271,-251.038,154.480
0.095,0.567,0.803,-84.839,-195.374,106.873
0.103,0.281,0.522,-79.041,-169.189,76.233
0.086,0.156,0.529,-80.505,-165.222,56.824
0.068,0.103,0.716,-86.731,-166.382,44.739
0.042,0.150,0.990,-90.637,-164.978,39.551
0.021,0.211,1.216,-89.844,-156.921,35.034
0.020,0.151,1.319,-80.750,-142.334,28.564
0.042,0.047,1.327,-70.374,-124.878,22.400
0.064,-0.004,1.332,-62.012,-109.497,19.592
0.101,-0.040,1.352,-53.040,-96.313,21.057
0.146,0.021,1.387,-43.030,-83.252,26.367
0.225,0.065,1.327,-31.738,-67.200,28.687
0.281,0.056,1.242,-21.179,-52.063,26.428
0.328,0.008,1.170,-11.963,-38.757,24.048
0.379,-0.031,1.088,-5.920,-26.428,22.827
0.438,-0.024,0.978,-2.991,-14.404,22.461
0.502,0.004,0.879,0.488,-4.578,22.217
0.563,-0.013,0.753,6.714,2.869,20.813
0.609,-0.002,0.632,11.597,7.629,18.616
0.656,-0.037,0.534,15.686,10.376,13.977
0.694,-0.069,0.483,19.958,11.658,8.423
0.713,-0.095,0.477,22.522,12.207,2.869
0.727,-0.193,0.455,24.719,13.733,-2.563
0.740,-0.277,0.441,25.574,15.198,-6.226
0.746,-0.357,0.430,23.682,15.930,-8.606
0.752,-0.423,0.409,21.179,15.686,-9.277
0.762,-0.437,0.399,18.799,14.404,-8.301
0.765,-0.451,0.401,17.822,12.512,-7.690
0.763,-0.479,0.397,17.029,11.292,-7.996
0.770,-0.518,0.389,15.930,9.766,-8.484
0.773,-0.517,0.404,13.916,7.507,-8.362
0.772,-0.516,0.422,11.108,5.554,-8.911
0.774,-0.528,0.438,8.728,4.272,-9.766
0.772,-0.534,0.452,5.981,3.845,-10.437
0.768,-0.538,0.468,4.150,3.601,-10.925
0.758,-0.532,0.494,2.869,3.967,-11.047
0.748,-0.552,0.513,1.404,5.005,-10.803
0.749,-0.555,0.497,-1.099,7.141,-9.949
0.753,-0.515,0.493,-4.272,7.629,-8.606
0.751,-0.490,0.515,-5.737,6.897,-7.568
0.753,-0.491,0.515,-5.310,7.019,-6.470
0.756,-0.478,0.503,-4.456,7.263,-4.822
0.762,-0.454,0.505,-3.967,6.897,-2.869
0.770,-0.427,0.503,-4.272,6.958,-1.770
0.773,-0.377,0.506,-5.249,7.263,-1.221
0.773,-0.323,0.510,-6.104,7.874,-1.526
0.512,-0.221,0.875,11.475,-15.503,-18.921
0.515,-0.221,0.866,11.108,-12.573,-15.808
0.522,-0.209,0.848,10.315,-9.705,-12.451
0.533,-0.169,0.823,9.399,-7.324,-10.132
0.550,-0.166,0.779,8.850,-6.165,-9.094
0.546,-0.144,0.777,8.789,-8.850,-8.118
0.538,-0.123,0.781,10.071,-12.024,-8.118
0.537,-0.135,0.763,10.803,-13.977,-9.949
0.528,-0.163,0.756,10.498,-16.174,-11.963
0.517,-0.188,0.761,9.888,-18.311,-12.756
0.510,-0.199,0.765,7.812,-20.020,-12.329
0.502,-0.202,0.795,5.676,-20.813,-11.475
0.496,-0.180,0.826,5.188,-20.264,-9.888
0.502,-0.163,0.824,5.371,-18.250,-8.850
0.515,-0.130,0.784,5.920,-15.930,-8.118
0.521,-0.103,0.752,7.263,-15.442,-8.240
0.518,-0.110,0.736,9.155,-16.907,-10.071
0.518,-0.117,0.725,10.193,-18.433,-12.878
0.510,-0.123,0.731,10.498,-20.874,-15.747
0.501,-0.162,0.759,10.803,-22.827,-18.921
0.490,-0.189,0.806,9.949,-23.804,-21.301
0.486,-0.166,0.821,11.292,-23.926,-22.156
0.504,-0.187,0.768,11.719,-22.888,-24.353
0.504,-0.205,0.724,10.315,-25.330,-27.100
0.503,-0.198,0.715,10.071,-31.250,-29.724
0.490,-0.187,0.749,10.620,-38.391,-33.020
0.471,-0.196,0.780,13.306,-44.800,-36.621
0.459,-0.200,0.800,17.639,-50.049,-40.344
0.454,-0.197,0.776,24.109,-55.115,-43.274
0.465,-0.171,0.709,30.945,-62.073,-46.997
